 Name,URL,,,,,,
Google,https://google.com,,,,,,
Instagram,https://www.instagram.com/direct/inbox,,,,,,
Chat Bots,https://chatgpt.com/,https://aistudio.google.com/,https://grok.com,https://chat.qwen.ai/,https://claude.ai/new,https://chat.deepseek.com/,https://www.kimi.com/,https://www.perplexity.ai/
Anime,https://animekai.to/home/,https://hianime.to/home/,https://theindex.moe/,https://everythingmoe.com/,,,
Github,https://github.com/motionkartik/,,,,,,
LinkedIn,https://www.linkedin.com/in/motionkartik/,,,,,,
TempMail,https://temp-mail.org/en/,,,,,,
Movies,https://ssrmovies.com/,https://mmodlist.net/,https://tbcpl.lol/,https://1337x.to/,,,





